"Bark_thickness" "Tree_height" "basal_area_total" "cwm_basal_area" "Vegetation_type" "Bark_thickness_relative"
"IS1" 1.44 5.78 17.5346969114707 350.693938229414 "savanna" 0.00410614454093584
"IS2" 0.970454545454545 4.06136363636364 6.33406831953915 57.5824392685376 "savanna" 0.016853307323936
"IS5" 1.10588235294118 2.95441176470588 8.92312135628655 52.4889491546267 "savanna" 0.0210688606030837
"ES1" 0.966666666666667 3.58 4.30160001315198 86.0320002630395 "savanna" 0.0112361291578845
"ES3" 0.811764705882353 3.35947368421053 4.954791793969 52.1557030944105 "savanna" 0.0155642558286085
"ES4" 1.09423076923077 4.71923076923077 14.99179880822 115.321529294 "savanna" 0.0094885211454415
"BS1" 1.21153846153846 2.76 8.97727382567355 128.246768938194 "savanna" 0.00944693165815614
"BS2" 1.00263157894737 3.07368421052632 3.48648797210683 36.6998733905982 "savanna" 0.0273197558006896
"MS1" 1.10740740740741 3.91407407407407 10.7096355924931 79.3306340184672 "savanna" 0.0139593918680849
"MS2" 1.08148148148148 3.58703703703704 8.76217592008485 64.9050068154435 "savanna" 0.016662527816331
"IC3" 1.5 14.6470588235294 25.0883894542909 295.157522991658 "gallery_forest" 0.00508203207831634
"EC2" 1.46923076923077 16.6666666666667 52.730320498652 270.411899993087 "gallery_forest" 0.00543330663061918
"EC3" 1.7390625 20.65625 56.532233673599 353.326460459993 "gallery_forest" 0.00492197073985324
"BC1" 1.45357142857143 8.06666666666667 15.3744431012751 256.240718354584 "gallery_forest" 0.00567267933802772
"BC2" 1.62647058823529 11.5294117647059 14.5921209573804 171.672011263299 "gallery_forest" 0.0094742909823589
"BQ8" 1.475 8.25 46.7497273499727 584.371591874659 "gallery_forest" 0.00252407889176853
"RC1" 1.83571428571429 7.97058823529412 92.371213266114 527.835504377795 "gallery_forest" 0.0034778150967283
"RC2" 1.51724137931034 7.92857142857143 41.2746023428062 284.652429950388 "gallery_forest" 0.0053301543203927
"RC3" 1.68703703703704 9.25925925925926 73.8181594723965 546.80118127701 "gallery_forest" 0.00308528418518976
"MC1" 0.95 11.2 61.1621225878665 611.621225878666 "gallery_forest" 0.00155324890602875
"SR1" 0.783783783783784 7.89189189189189 14.5291552830197 78.5359745028092 "dry_forest" 0.00997993325664722
"SG1" 1.00291666666667 8.85416666666667 23.3052572606251 194.210477171876 "dry_forest" 0.0051640708641022
"SP1" 0.78 8.77142857142857 14.4997116185477 82.8554949631297 "dry_forest" 0.00941398033222898
"SP2" 0.953863636363636 7.87045454545455 13.7768577191393 62.6220805415425 "dry_forest" 0.0152320655608186
"SS1" 1.15945945945946 10.6210526315789 28.6924412039862 147.140724123006 "dry_forest" 0.00787993579867244
"SS2" 0.936486486486486 12.7567567567568 20.4711215270105 110.654710956813 "dry_forest" 0.00846314159052825
"SS3" 0.959333333333333 12.2166666666667 23.0955427709865 153.97028513991 "dry_forest" 0.00623063945398039
"SD1" 1.25225 10.9875 29.5861240615622 147.930620307811 "dry_forest" 0.00846511694059245
"SD2" 0.980769230769231 10.4038461538462 24.9738177896326 192.106290689482 "dry_forest" 0.00510534677052577
"SD3" 1.3625 7.715 47.0567690661856 470.567690661856 "dry_forest" 0.00289543890717112
